chr20_303706_303714|Motif1;Gene1_TSS_Gene1_TSS1	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5
chr20_303738_303748|Motif1;Gene1_TSS_Gene1_TSS1	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5
chr20_303377_303385|Motif1;Gene3_TSS_Gene3_TSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5
chr20_326367_326375|Motif4;Gene3_TSS_Gene3_TSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5
chr21_35088614_35088625|Motif1;Gene2_TSS_Gene2_TSS2	0	0	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	69767.4	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5	58139.5
chr21_35012347_35012357|Motif1;Gene2_TSS_Gene2_TSS2	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9
chr21_35198809_35198821|Motif2;Gene1_TSS_Gene2_TSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3	93023.3
chr21_35144166_35144177|Motif2;Gene2_TSS_Gene2_TSS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9	11627.9
chr21_35012258_35012269|Motif2;Gene2_TSS_Gene2_TSS1	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	46511.6	104651	104651	104651	104651	104651	104651	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	34883.7	11627.9	11627.9
chr21_35188255_35188263|Motif2;Gene2_TSS_Gene2_TSS1	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8	23255.8
